№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
2136,"Пирдоп, София-област, Пирдоп, гр.Пирдоп, 2070","Средно общообразователно училище   ""Саво Ценов Савов""",община,V - ХІІ клас
2137,"София-област, Пирдоп, Пирдоп, ул. ""Славци"", №2, 2070","Професионална гимназия по туризъм и  хранителни технологии ""Никола Димов""",Министерство на земеделието и храните,професионална гимназия
2138,"София-област, Пирдоп, Пирдоп, Стефан Стамболов 99, 2070",Професионална гимназия по механаноелектротехника,Министерство на образованието и науката,професионална гимназия
2139,"Пирдоп, София-област, Пирдоп, 2070, бул.Цар Освободител 72","Начално училище ""Тодор Генчев Влайков""",община,начално (І - ІV клас)
2140,"Видраре, София-област, Правец, 2166, с.Видраре, община Правец","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
2141,"Джурово, София-област, Правец, 2163, с.Джурово, община Правец","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2142,"София-област, Правец, Осиковица, 2164, с.Осиковица, община Правец","Основно училище   ""Любен Каравелов""",община,основно (І - VІІІ клас)
2143,"Осиковска Лакавица, София-област, Правец, 2165, с.Осиковска Лъкавица","Основно училище   ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
2144,"Правец, София-област, Правец, 2161, бул. ""Трети март"" №30","Гимназия с преподаване на чужди езици ""Алеко Константинов""",община,профилирана гимназия
2145,"София-област, Правец, Правец, 2161, бул.""3-ти март""№30","Основно училище  ""Васил Левски""",община,основно (І - VІІІ клас)
2146,"София-област, Правец, Правец, 2161, гр.Правец",Професионална гимназия по     компютърни технологии и системи,Министерство на образованието и науката,професионална гимназия
2147,"Правец, София-област, Разлив, с.Разлив, община Правец, 2162","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2148,"Говедарци, София-област, Самоков, 2020, с.Говедарци","Основно училище   ""Димчо Дебелянов""",община,основно (І - VІІІ клас)
2149,"Радуил, София-област, Самоков, село Радуил, 2043","Основно училище   ""Христо Смирненски""",община,основно (І - VІІІ клас)
2150,"Самоков, София-област, Самоков, ул. ""Цар Борис III "" № 47, 2000","Профилирана гимназия  ""КОНСТАНТИН  ФОТИНОВ""",община,профилирана гимназия
2151,"Самоков, София-област, Самоков, 2000, ул. "" Ястребец "" № 4","Професионална техническа   гимназия ""Никола Й. Вапцаров""",Министерство на образованието и науката,професионална гимназия
2152,"Самоков, София-област, Самоков, 2000, ул Софийско шосе 18",Професионална гимназия по туризъм,Министерство на образованието и науката,професионална гимназия
2153,"София-област, Самоков, Самоков, 2000, ул.""Св.Св.Кирил и Методий""№1","Основно училище ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
2154,"Самоков, София-област, Самоков, 2000, ул. ""Булаир"" №2","Средно общообразователно училище   ""Отец Паисий""",община,V - ХІІ клас
2155,"София-област, Самоков, Самоков, бул""Софийско шосе""№3, 2000","Основно професионално училище ""Неофит Рилски""",община,ОУ с професионални паралелки
2156,"София-област, Самоков, Самоков, ул. ""Булаир"" №2, 2000","Спортно училище""Никола Велчев""",община,спортно
2157,"София-област, Самоков, Самоков, 2000, ул.""Христо Максимов""N40","Начално училище ""Петър Берон""",община,начално (І - ІV клас)
2158,"София-област, Самоков, Самоков, 2000, ул.""Иван Вазов""80","Начално училище ""Станислав Доспевски""",община,начално (І - ІV клас)
2159,"Самоков, София-област, Самоков, 2000, ул.""Македония"" №25","Основно училище ""Митрополит Авксентий Велешки""",община,основно (І - VІІІ клас)
2160,"Самоков, София-област, Самоков, 2000, ул. ""Христо Максимов""  1","Основно училище  ""Христо Максимов""",община,основно (І - VІІІ клас)
2161,"Самоков, София-област, Ярлово, 2029, с. Ярлово ул.39 -1","Основно училище            "" Васил Левски""",община,основно с (присъединена) група в детска градина
2162,"Своге, София-област, Бов, ул.""Паисий"", 2271","Основно училище  ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
2163,"Своге, София-област, Владо Тричков, 2299, с.Владо Тричков","Основно училище  ""Елин Пелин""",община,основно (І - VІІІ клас)
2164,"Искрец, София-област, Своге, ул. ""Христо Ботев"" №9, 2290","Основно училище  ""Свети Иван Рилски""",община,основно (І - VІІІ клас)
2165,"Своге, София-област, Лакатник, 2272, ул.""Христо Ботев""12","Основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
2166,"Своге, София-област, Осеновлаг, 2291, с.Осеновлаг","ОСНОВНО УЧИЛИЩЕ  ""Св.Св.КИРИЛ И МЕТОДИЙ""",община,основно (І - VІІІ клас)
2167,"Своге, София-област, Реброво, ул.""Стара планина""7, 2294","Основно училище   ""Д-р Петър Берон""",община,основно (І - VІІІ клас)
2168,"Своге, София-област, Свидня, 2266, ул.""Отец Паисий""3","Основно училище   ""Отец Паисий""",община,основно (І - VІІІ клас)
2169,"Своге, София-област, Своге, ул. ""Отец Паисий"" №9, 2260","Професионална гимназия   ""Велизар Пеев""",Министерство на образованието и науката,професионална гимназия
2170,"Своге, София-област, Своге, 2260, ул.""Миньорска ""5","Начално училище  ""Д-р Петър Берон""",община,начално (І - ІV клас)
2171,"Своге, София-област, Своге, ""Звънче"" - №5, 2260","Средно общообразователно училище  ""Иван Вазов""",община,СОУ (І - ХІІ клас)
2172,"Церово, София-област, Своге, ул.""Иван АсенII""12, 2287","Основно училище  ""Васил Левски""",община,основно (І - VІІІ клас)
2173,"Алдомировци, София-област, Сливница, 2222, ул.""Иван Вазов"" № 9","Основно Училище ""Иван Вазов""",община,основно (І - VІІІ клас)
2174,"Сливница, София-област, Сливница, ул.""Кирил и Методий"" № 4, 2200","Професионална гимназия по транспорт   ""Никола Йонков Вапцаров""",Министерство на образованието и науката,професионална гимназия
2175,"Сливница, София-област, Сливница, ул.""Елин Пелин"" №1, 2200","Средно общообразователно училище   ,,Св.Св.Кирил и Методий""",община,СОУ (І - ХІІ клас)
2176,"Чавдар, София-област, Чавдар, 2084, Чавдар","Основно училище   ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
2177,"София-област, Челопеч, Челопеч, ул.""Любен Каравелов"" 3, ет.3, 2087","Частна профилирана гимназия  с чуждоезиково обучение ""ЧЕЛОПЕЧ""",частно финансиране,профилирана гимназия
2178,"Челопеч, София-област, Челопеч, 2087, ул. ""Любен Каравелов"" № 3","Основно училище   ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
2179,"Стара Загора, Братя Даскалови, Братя Даскалови, 0, 6250","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
2180,"Стара Загора, Братя Даскалови, Гранит, 6252, ""Жельо Калчев"" 43","ОСНОВНО УЧИЛИЩЕ ""ПЕЙО КРАЧОЛОВ ЯВОРОВ""",община,основно (І - VІІІ клас)
2181,"Мирово, Стара Загора, Братя Даскалови, ул.""24-ти май"" № 26, 6255","ОСНОВНО УЧИЛИЩЕ "" Д-Р ПЕТЪР БЕРОН""",община,основно (І - VІІІ клас)
2182,"Стара Загора, Братя Даскалови, Оризово, ул. ""Тракия"" № 32, 6253","ОСНОВНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
2183,"Братя Даскалови, Стара Загора, Партизанин, 6218, с. Партизанин","ОСНОВНО УЧИЛИЩЕ ""ГЕОРГИ САВА РАКОВСКИ""",община,основно (І - VІІІ клас)
2184,"Братя Даскалови, Стара Загора, Черна гора, ул."" Васил Левски"" № 1, 6258","ОСНОВНО УЧИЛИЩЕ ""СВЕТИ СВЕТИ КИРИЛ И МЕТОДИЙ""",община,основно (І - VІІІ клас)
2185,"Гурково, Стара Загора, Гурково, 6199, ул.""Княз Александър Батемберг"" 21","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ   ""ХРИСТО СМИРНЕНСКИ""",община,СОУ (І - ХІІ клас)
2186,"Паничерево, Стара Загора, Гурково, с.Паничерево, 6172","Основно училище ""Св.Св. Кирил и Методий""",община,основно (І - VІІІ клас)
2187,"Гълъбово, Стара Загора, Гълъбово, кв.""Строител"", 6280","Средно общообразователно училище   ""Васил Левски""",община,СОУ (І - ХІІ клас)
2188,"Гълъбово, Стара Загора, Гълъбово, кв.Индустриален, 6280",Професионална гимназия   по енергетика и електротехника,община,професионална гимназия
2189,"Гълъбово, Стара Загора, Гълъбово, ул""Славянска"" 17 а, 6280","Първо Основно Училище  ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
2190,"Гълъбово, Стара Загора, Гълъбово, ул.""Христо Ботев"" № 18, 6280","Второ основно училище"" Христо Ботев""",община,основно (І - VІІІ клас)
2191,"Обручище, Стара Загора, Гълъбово, 6290, ул.Пламък№16","Основно училище ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
2192,"Стара Загора, Казанлък, Бузовград, Бузовград, 6159","Основно Училище "" Васил Левски""",община,основно (І - VІІІ клас)
2193,"Казанлък, Стара Загора, Горно Черковище, ул.""Христо Ботев"" №11, 6165","ОСНОВНО УЧИЛИЩЕ""СВЕТИ  КЛИМЕНТ ОХРИДСКИ""",община,основно (І - VІІІ клас)
2194,"Енина, Стара Загора, Казанлък, 6142, ул.""Георги Маджаров""№20","ОСНОВНО УЧИЛИЩЕ  ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
2195,"Казанлък, Стара Загора, Казанлък, 6100, кв.""Васил Левски""","Гимназия ""Академик   Петко Стайнов""",община,гимназия (ІХ - ХІІ клас)
2196,"Казанлък, Стара Загора, Казанлък, 6100, ул. ""Орешака"" 2","Природо-математическа гимназия    ""Никола Обрешков""",община,профилирана гимназия
2197,"Казанлък, Стара Загора, Казанлък, ул.""Св.Св.Кирил и Методий"", 6100","ХУМАНИТАРНА  ГИМНАЗИЯ  ""СВ.СВ.КИРИЛ  И  МЕТОДИЙ """,община,профилирана гимназия
2198,"Стара Загора, Казанлък, Казанлък, 6100, ул. Климент №2","Средно общообразователно училище ""Екзарх Антим І """,община,СОУ (І - ХІІ клас)
2199,"Стара Загора, Казанлък, Казанлък, ул.""Цар Борис І"" №2, 6100","ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ""ИВАН ХАДЖИЕНОВ""",Министерство на образованието и науката,професионална гимназия
2200,"Казанлък, Стара Загора, Казанлък, ул.""Хемус"" 5, 6100",ПРОФЕСИОНАЛНА ГИМНАЗИЯ   ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ,Министерство на образованието и науката,професионална гимназия
2201,"Казанлък, Стара Загора, Казанлък, ул.Кайнарджа №33, 6100",Професионална гимназия по лека промишленост и туризъм,Министерство на образованието и науката,професионална гимназия
2202,"Казанлък, Стара Загора, Казанлък, 6100, ул. ""Райко Даскалов"" №24",Професионална гимназия по строителство,Министерство на образованието и науката,професионална гимназия
2203,"Казанлък, Стара Загора, Казанлък, 6100, ул. ""19 ти Февруари"" №3","Основно училище  ""Кулата""",община,основно (І - VІІІ клас)
2204,"Стара Загора, Казанлък, Казанлък, ул. Стоян Михайловски 16, 6100","Основно училище  ""Георги Кирков""",община,основно (І - VІІІ клас)
2205,"Стара Загора, Казанлък, Казанлък, ""Професор Петко Стайнов"" № 27а, 6100",Основно училище   Свети Паисий Хилендарски,община,основно (І - VІІІ клас)
2206,"Казанлък, Стара Загора, Казанлък, ул.""Кирил и Методий"" № 1, 6100","ОСНОВНО УЧИЛИЩЕ   ""МАТИ БОЛГАРИЯ""",община,основно (І - VІІІ клас)
2207,"Казанлък, Стара Загора, Казанлък, 6100, ул.""Старозагорска"" 26","Основно училище ""Чудомир""",община,основно (І - VІІІ клас)
2208,"Казанлък, Стара Загора, Казанлък, 6100, к.в. ""Васил Левски""","Основно училище ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
2209,"Казанлък, Стара Загора, Казанлък, УЛ.""ОВОЩНИК"" №39, 6100","ОСНОВНО УЧИЛИЩЕ    ""АНТОН СТРАШИМИРОВ""",община,основно (І - VІІІ клас)
2210,"Казанлък, Стара Загора, Казанлък, 6100, ул.Ген. Радецки № 80","Национална гимназия  по пластични изкуства    и дизайн  ""Академик  Дечко Узунов""",Министерство на културата,по изкуствата
2211,"Стара Загора, Казанлък, Копринка, УЛ.""ПЛИСКА""36, 6137","ОУ ""КИРИЛ И МЕТОДИЙ""",община,основно (І - VІІІ клас)
2212,"Казанлък, Стара Загора, Крън, 6140, ул. ""Осми март"" № 2","Основно училище  ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
2213,"Стара Загора, Казанлък, Кънчево, ул. ""9 септември"" № 1, 6164","Основно Училище   ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
2214,"Стара Загора, Казанлък, Овощник, ул.""Розова долина"" №49, 6138","ОСНОВНО  УЧИЛИЩЕ ""Д-Р ПЕТЪР БЕРОН""",община,основно (І - VІІІ клас)
2215,"Ръжена, Стара Загора, Казанлък, ул. ""Девети Май"" 6, 6171","Основно училище   ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
2216,"Казанлък, Стара Загора, Хаджидимитрово, ул.""Арда""2, 6141","Основно училище  ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
2217,"Шейново, Стара Загора, Казанлък, 6144, ул.""Опъченска"" - 29","ОУ ""Д-Р ПЕТЪР БЕРОН""",община,основно (І - VІІІ клас)
2218,"Стара Загора, Казанлък, Шипка, ул.""Комсомолска"" №2, 6150","Основно училище   ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
2219,"Стара Загора, Мъглиж, Ветрен, ул.""Стара планина"" №1, 6175","ОСНОВНО УЧИЛИЩЕ ""СВЕТИ СВЕТИ КИРИЛ И МЕТОДИЙ""",община,основно (І - VІІІ клас)
2220,"Стара Загора, Мъглиж, Дъбово, 6178, с.Дъбово","Основно училище   ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
2221,"Зимница, Стара Загора, Мъглиж, с.Зимница, 6177","Начално училище ,,Свeти Паисий Хилендарски""",община,начално (І - ІV клас)
2222,"Мъглиж, Стара Загора, Мъглиж, 6180, ул.Гео Милев №10","ОСНОВНО УЧИЛИЩЕ   ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
2223,"Стара Загора, Мъглиж, Мъглиж, 6180, ул. ""Гео Милев"" № 70","Професионална гимназия   по селско стопанство ""Гео Милев""",Министерство на земеделието и храните,професионална гимназия
2224,"Мъглиж, Стара Загора, Мъглиж, 6180, ул.Захари Стоянов No18","ПОМОЩНО УЧИЛИЩЕ ИНТЕРНАТ""Д-Р ПЕТЪР БЕРОН""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
2225,"Стара Загора, Мъглиж, Тулово, ул. ""Роза "" № 40, 6170","Основно училище ""Христо Смирненски""",община,основно (І - VІІІ клас)
2226,"Ягода, Стара Загора, Мъглиж, 6167, ул.""3 март"" - 58","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2227,"Стара Загора, Николаево, Едрево, 6173, с. Едрево","Начално училище ""Васил Левски""",община,начално (І - ІV клас)
2228,"Стара Загора, Николаево, Елхово, 6174, с. Елхово","Начално училище ""Братя Жекови""   с. Елхово общ. Николаево",община,начално (І - ІV клас)
2229,"Николаево, Стара Загора, Николаево, 6190, УЛ. ОСВОБОЖДЕНИЕ 2","Професионална гимназия  ""АТАНАС ДАМЯНОВ """,община,професионална гимназия
2230,"Николаево, Стара Загора, Николаево, 6190, ул.""Св.Св.Кирил и Методий"" 13","Основно училище   ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
2231,"Стара Загора, Николаево, Нова махала, 6191, с.Нова махала","Начално училище "" Св. Св. Кирил и Методий""",община,начално (І - ІV клас)
2232,"Опан, Стара Загора, Опан, село Опан, 6078","Основно училище  ""Христо Ботев""",община,основно (І - VІІІ клас)
2233,"Павел баня, Стара Загора, Александрово, 6154, ул. ""Стара планина"" 1","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2234,"Павел баня, Стара Загора, Габарево, 6162, ул.""Генерал Габарев""41","Основно училище ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
2235,"Горно Сахране, Стара Загора, Павел баня, 6151, ул . ""Васил Левски"" 18","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
2236,"Манолово, Стара Загора, Павел баня, ул.""Цар Симеон Велики"" №5, 6152","Основно училище ""Георги Бенковски""",община,основно (І - VІІІ клас)
2237,"Павел баня, Стара Загора, Осетеново, ул.""Тракия"" 7, 6153","Основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
2238,"Павел баня, Стара Загора, Павел баня, 6155, ул.""Христо Ботев""13","СРЕДНО ОБЩООБРАЗОВАТЕЛНО   УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",община,СОУ (І - ХІІ клас)
2239,"Павел баня, Стара Загора, Павел баня, 6155, ул.""Св.св.Кирил и Методий""№2",Професионална гимназия    по ресторантьорство и хотелиерство,община,професионална гимназия
2240,"Стара Загора, Павел баня, Скобелево, 6148, ул.""Г.Скобелев""№34","Основно училище""Генерал Скобелев""",община,основно (І - VІІІ клас)
2241,"Стара Загора, Павел баня, Тъжа, ул. ""Пионерска"" №1, 6160","Основно училище ""Просвета""",община,основно (І - VІІІ клас)
2242,"Стара Загора, Павел баня, Търничени, ул. Розова долина 22, 6158","ОСНОВНО УЧИЛИЩЕ  ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
2243,"Стара Загора, Раднево, Коларово, 6271, 0","Основно училище ""Поп Минчо""",община,основно (І - VІІІ клас)
2244,"Раднево, Стара Загора, Раднево, ул. ""Георги Димитров"" 24, 6260","Средно общообразователно   училище ""Гео Милев""",община,СОУ (І - ХІІ клас)
2245,"Стара Загора, Раднево, Раднево, 6260, ул. ""Г. Димитров""№39","Професионална гимназия   ""Св.Иван Рилски""",Министерство на образованието и науката,професионална гимназия
2246,"Раднево, Стара Загора, Раднево, ""Магда Петканова"" 25, 6260","Първо основно  училище   ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
2247,"Раднево, Стара Загора, Раднево, 6260, ул. ""Спортна"" №3","ВТОРО ОСНОВНО УЧИЛИЩЕ   ""СВЕТИ ПАИСИЙ ХИЛЕНДАРСКИ""",община,основно (І - VІІІ клас)
2248,"Раднево, Стара Загора, Сърнево, ул. ""Славей"" №2, 6268","Основно училище   ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
2249,"Стара Загора, Раднево, Трояново, 6270, ул.""Дружба"" 17","ОСНОВНО УЧИЛИЩЕ   ""ЙОРДАН ЙОВКОВ""",община,основно (І - VІІІ клас)
2250,"Стара Загора, Стара Загора, Братя Кунчеви, с. Братя Кунчеви, 6057","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2251,"Горно Ботево, Стара Загора, Стара Загора, 6053, ул.Роза №47","Основно училище ""Христо Ботев""  с. Горно Ботево",община,основно (І - VІІІ клас)
2252,"Стара Загора, Стара Загора, Дълбоки, с.Дълбоки, 6060","Основно училище   ""Иван Мирчев""",община,основно (І - VІІІ клас)
2253,"Стара Загора, Стара Загора, Загоре, 6095, с.Загоре","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
2254,"Стара Загора, Стара Загора, Калояновец, с.Калояновец, 6070","Основно училище ""Отец Паисий""",община,основно (І - VІІІ клас)
2255,"Стара Загора, Стара Загора, Кирилово, 0, 6064","Частно средно общообразователно училище ""Нов век""",частно финансиране,СОУ (І - ХІІ клас)
2256,"Стара Загора, Стара Загора, Преславен, с. Преславен, 6048","Основно  училище ""Бойчо Русев""",община,основно (І - VІІІ клас)
2257,"Стара Загора, Стара Загора, Стара Загора, кв.""Железник""  ул.""Младост"" №8, 6014","СРЕДНО  ОБЩООБРАЗОВАТЕЛНО  УЧИЛИЩЕ      ""ЖЕЛЕЗНИК""",община,СОУ (І - ХІІ клас)
2258,"Стара Загора, Стара Загора, Стара Загора, 6000, ""Августа Траяна"" 44","Природоматематическа гимназия  ""Гео Милев""",община,профилирана гимназия
2259,"Стара Загора, Стара Загора, Стара Загора, ул.""Кольо Ганчев""60, 6000","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ ""Васил Левски""",община,СОУ (І - ХІІ клас)
2260,"Стара Загора, Стара Загора, Стара Загора, ул. ""Знание"" №2, 6000","Средно общообразователно училище  ""Христо Смирненски""",община,СОУ (І - ХІІ клас)
2261,"Стара Загора, Стара Загора, Стара Загора, 6000, ул. ""Сава Силов"" №69","Средно общообразователно училище  ""Максим Горки""",община,СОУ (І - ХІІ клас)
2262,"Стара Загора, Стара Загора, Стара Загора, 6001, ул. Ген. Гурко №102","Средно общообразователно училище   ""Иван Вазов""",община,СОУ (І - ХІІ клас)
2263,"Стара Загора, Стара Загора, Стара Загора, 6006, кв.""Кольо Ганчев""  ул. ""Градинарска"" № 16","СПОРТНО  УЧИЛИЩЕ  ""ТОДОР КАБЛЕШКОВ""",община,спортно
2264,"Стара Загора, Стара Загора, Стара Загора, 6013, кв.""Три Чучура-север""","Основно  училище  ""Георги Райчев""",община,основно (І - VІІІ клас)
2265,"Стара Загора, Стара Загора, Стара Загора, ул.""Ангел Кънчев"" 82, 6000","Вечерно СОУ ""Захари Стоянов""",община,гимназия (ІХ - ХІІ клас)
2266,"Стара Загора, Стара Загора, Стара Загора, ул. ""Ген. Столетов""183, 6000","Професионална гимназия  по   механотехника  и транспорт  ""Н. Й. Вапцаров""",Министерство на образованието и науката,професионална гимназия
2267,"Стара Загора, Стара Загора, Стара Загора, 6000, ул .Г.Столетов"" 185","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И ТЕХНОЛОГИИ  "" Г. С. РАКОВСКИ""",Министерство на образованието и науката,професионална гимназия
2268,"Стара Загора, Стара Загора, Стара Загора, 6000, бул.""Патриарх Евтимий"" 21","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО  ВЕТЕРИНАРНА МЕДИЦИНА  ""ИВАН П. ПАВЛОВ""",Министерство на земеделието и храните,професионална гимназия
2269,"Стара Загора, Стара Загора, Стара Загора, 6001, бул.""Никола Петков"" 4","ПРОФЕСИОНАЛНА ГИМНАЗИЯ    ПО   ЕЛЕКТРОНИКА ""ДЖОН АТАНАСОВ""",Министерство на образованието и науката,професионална гимназия
2270,"Стара Загора, Стара Загора, Стара Загора, ул.""Mусала"" 38, П.К.367, 6000","Професионална гимназия по строителство  и дървообработване ""Инж. Недьо Ранчев""",Министерство на образованието и науката,професионална гимназия
2271,"Стара Загора, Стара Загора, Стара Загора, кв. ""Индустриален"" №2, 6000","Средно общообразователно училище ""Поп Минчо Кънчев""    при Затвора гр.Стара Загора",Министерство на образованието и науката,към местата за лишаване от свобода
2272,"Стара Загора, Стара Загора, Стара Загора, 6001, ул. Подполковник Калитин 28","Първо основно училище  ""Георги Бакалов""",община,основно (І - VІІІ клас)
2273,"Стара Загора, Стара Загора, Стара Загора, ул. ""Генерал Столетов ""111, 6000","Второ основно училище  ""Петко Рачов Славейков""",община,основно (І - VІІІ клас)
2274,"Стара Загора, Стара Загора, Стара Загора, 6006, кв. ""К. Ганчев"" ул. ""Добруджа""  15","НАЧАЛНО УЧИЛИЩЕ  ""КОЛЬО ГАНЧЕВ""",община,начално (І - ІV клас)
2275,"Стара Загора, Стара Загора, Стара Загора, ул.""Августа Траяна""68, 6000","ОСНОВНО УЧИЛИЩЕ ""КИРИЛ ХРИСТОВ """,община,основно с (присъединена) група в детска градина
2276,"Стара Загора, Стара Загора, Стара Загора, 6003, ул."" Ст. Стамболов "" 19","ПЕТО ОСНОВНО УЧИЛИЩЕ  "" Митьо Станев """,община,основно (І - VІІІ клас)
2277,"Стара Загора, Стара Загора, Стара Загора, 6000, кв.""Самара""","Основно училище ""Самара""",община,основно (І - VІІІ клас)
2278,"Стара Загора, Стара Загора, Стара Загора, 6000, ""Ангел Кънчев""82","Девето основно училище  ""Веселин Ханчев""",община,основно (І - VІІІ клас)
2279,"Стара Загора, Стара Загора, Стара Загора, кв. Три чучура юг, 6010","Единадесето основно училище   ""Николай Лилиев""",община,основно (І - VІІІ клас)
2280,"Стара Загора, Стара Загора, Стара Загора, 6007, ""Ком"" №35","Дванадесето  основно училище     ""Стефан Караджа""",община,основно (І - VІІІ клас)
2281,"Стара Загора, Стара Загора, Стара Загора, кв.""""Казански"""",ул.""""Д.Маджаров""""1, 6000","Тринадесето основно училище  ""Свети Паисий Хилендарски""",община,основно (І - VІІІ клас)
2282,"Стара Загора, Стара Загора, Стара Загора, ул.""Л.Каравелов"" 70, 6000","Начално училище ""Димитър Благоев""",община,начално (І - ІV клас)
2283,"Стара Загора, Стара Загора, Стара Загора, кв. ""Зора"", 6011","Начално училище ""Зора""",община,начално (І - ІV клас)
2284,"Стара Загора, Стара Загора, Стара Загора, ул.""Св.Княз Борис ""№ 86, 6000","Професионална гимназия по облекло и хранене   ""Райна Княгиня""",Министерство на образованието и науката,професионална гимназия
2285,"Стара Загора, Стара Загора, Стара Загора, кв. ""Железник"",ул. ""Индже войвода"" 7, 6000","Частно основно  училище ""Елин Пелин""",частно финансиране,основно (І - VІІІ клас)
2286,"Стара Загора, Стара Загора, Стара Загора, 6000, ул. ""Арх. Христо  Димов"" 39","Частна профилирана гимназия ""Траяна""",частно финансиране,профилирана гимназия
2287,"Стара Загора, Стара Загора, Стара Загора, 6000, ул.""Армейска"" № 9","Частен професионален колеж  по охрана и сигурност  ""Свети Георги Победоносец""",частно финансиране,професионален колеж
2288,"Стара Загора, Стара Загора, Стара Загора, 6004, ул.""Майор Кавалджиев"" 168","Средно общообразователно училище ""Христо Ботев""",община,СОУ (І - ХІІ клас)
2289,"Стара Загора, Стара Загора, Стара Загора, бул. ""Св. Патриарх Евтимий"" № 114, 6000","Търговска гимназия   ""Княз Симеон Търновски""",община,професионална гимназия
2290,"Стара Загора, Стара Загора, Стара Загора, 6000, ул. ""Граф Игнатиев"" №11","Професионална гимназия по   строителство,архитектура и геодезия ""Лубор Байер""",Министерство на образованието и науката,професионална гимназия
2291,"Стара Загора, Стара Загора, Стара Загора, 6000, Ген Гурко 46А","ШЕСТО ОСНОВНО УЧИЛИЩЕ    ""СВЕТИ НИКОЛА""",община,основно (І - VІІІ клас)
2292,"Стара Загора, Стара Загора, Стара Загора, ул.""Цар Иван Шишман"" 62, 6000","Гимназия с преподаване   на чужди езици ""Ромен Ролан""",община,профилирана гимназия
2293,"Стара Загора, Стара Загора, Стара Загора, УЛ.ЦАР ИВАН ШИШМАН № 76, 6000","ПОМОЩНО  УЧИЛИЩЕ  "" ЛЮБЕН КАРАВЕЛОВ""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
2294,"Стара Загора, Стара Загора, Стара Загора, ""Армейска""7, 6010","Национално училище за музикални   и сценични изкуства""Христина Морфова""",Министерство на културата,по изкуствата
2295,"Старозагорски бани, Стара Загора, Стара Загора, Старозагорски бани, 6062",Частно средно общообразователно училище ДЕЛФИНИТЕ,частно финансиране,СОУ (І - ХІІ клас)
2296,"Стара Загора, Стара Загора, Хан Аспарухово, с. Хан Аспарухово, 6055","ОУ ""Св. св. Кирил и Методий"", с. Хан Аспарухово",община,основно (І - VІІІ клас)
2297,"Стара Загора, Стара Загора, Хрищени, 6050, с.Хрищени","Основно училище   ""Христо Ботев""",община,основно (І - VІІІ клас)
2298,"Стара Загора, Чирпан, Гита, ГИТА, 6215","ОСНОВНО УЧИЛИЩЕ  ""ВАСИЛ ЛЕВСКИ""",община,основно с (присъединена) група в детска градина
